epoch,train_loss,train_after_loss,test_loss
1,0.11843365,-,-
2,0.048751857,-,-
3,0.03994459,-,-
4,0.034466207,-,-
5,0.029909829,-,-
6,0.025921782,-,-
7,0.023529671,-,-
8,0.020494096,-,-
9,0.018566178,-,-
10,0.0165691,-,-
11,0.014791828,-,-
12,0.013955687,-,-
13,0.0125646815,-,-
14,0.0114285415,-,-
15,0.010287915,-,-
16,0.009904627,-,-
17,0.0091112945,-,-
18,0.008489841,-,-
19,0.007851952,-,-
20,0.007319145,-,-
21,0.006944358,-,-
22,0.0067552584,-,-
23,0.0064864904,-,-
24,0.006320817,-,-
25,0.0059889606,-,-
26,0.0057337265,-,-
27,0.005351732,-,-
28,0.0049739266,-,-
29,0.0047473777,-,-
30,0.0054452987,-,-
31,0.004780979,-,-
32,0.0046358565,-,-
33,0.0045019547,-,-
34,0.004257386,-,-
35,0.0041257474,-,-
36,0.0039992393,-,-
37,0.003937833,-,-
38,0.004011958,-,-
39,0.0038034609,-,-
40,0.0034474225,-,-
