epoch,train_loss,train_after_loss,test_loss
1,0.101193294,-,-
2,0.06880386,-,-
3,0.056850314,-,-
4,0.047981024,-,-
5,0.04071058,-,-
6,0.034785118,-,-
7,0.029868446,-,-
8,0.026083415,-,-
9,0.022922998,-,-
10,0.020449156,-,-
11,0.01849509,-,-
12,0.017087687,-,-
13,0.015676834,-,-
14,0.014722895,-,-
15,0.013863026,-,-
16,0.013279272,-,-
17,0.012631733,-,-
18,0.012014064,-,-
19,0.011689971,-,-
20,0.011279535,-,-
21,0.010938038,-,-
22,0.01064221,-,-
23,0.010380426,-,-
24,0.010218824,-,-
25,0.009846502,-,-
26,0.009687316,-,-
27,0.009506793,-,-
28,0.009290134,-,-
29,0.009137224,-,-
30,0.008989449,-,-
31,0.008862809,-,-
32,0.008626461,-,-
33,0.008487881,-,-
34,0.008416083,-,-
35,0.008307791,-,-
36,0.008132158,-,-
37,0.008043733,-,-
38,0.007898939,-,-
39,0.0077658747,-,-
40,0.007681719,-,-
41,0.0075703673,-,-
42,0.0075123385,-,-
43,0.0073360167,-,-
44,0.007218898,-,-
45,0.0071712155,-,-
46,0.0070888726,-,-
47,0.006954394,-,-
48,0.0068786643,-,-
49,0.006788935,-,-
50,0.006662463,-,-
51,0.006597489,-,-
52,0.0065153204,-,-
53,0.0064154696,-,-
54,0.006335922,-,-
55,0.0061945273,-,-
56,0.0061822915,-,-
57,0.006082562,-,-
58,0.0060279747,-,-
59,0.0059330175,-,-
60,0.0058365134,-,-
61,0.005771029,-,-
62,0.0056776316,-,-
63,0.005603543,-,-
64,0.0055135223,-,-
65,0.0054897526,-,-
66,0.0054371213,-,-
67,0.0053160586,-,-
68,0.0052017267,-,-
69,0.005203777,-,-
70,0.005074589,-,-
71,0.0050490997,-,-
72,0.004959831,-,-
73,0.004929474,-,-
74,0.004796456,-,-
75,0.0047584767,-,-
76,0.004710655,-,-
77,0.0046060695,-,-
78,0.004590076,-,-
79,0.004494743,-,-
80,0.004490004,-,-
81,0.0043751677,-,-
82,0.004321443,-,-
83,0.004228609,-,-
84,0.004186416,-,-
85,0.0040880586,-,-
86,0.0040703192,-,-
87,0.003993189,-,-
88,0.003927395,-,-
89,0.003913227,-,-
90,0.0038614967,-,-
91,0.0037233168,-,-
92,0.0037762157,-,-
93,0.00368604,-,-
94,0.0035540564,-,-
95,0.003544666,-,-
96,0.0034608827,-,-
97,0.0034684131,-,-
98,0.0034199606,-,-
99,0.0033595404,-,-
100,0.0032846439,-,-
